"TAZ"	"COUNTY_FIP"	"COUNTY_NM"
1361	33	"King"
1362	33	"King"
1363	33	"King"
1364	33	"King"
1365	33	"King"
1366	33	"King"
1367	33	"King"
1368	33	"King"
1369	33	"King"
1370	33	"King"
1371	33	"King"
1372	33	"King"
1373	33	"King"
1374	33	"King"
1375	33	"King"
1376	33	"King"
1377	33	"King"
1378	33	"King"
1379	33	"King"
1380	33	"King"
1381	33	"King"
1382	33	"King"
1383	33	"King"
1384	33	"King"
1385	33	"King"
1386	33	"King"
1387	33	"King"
1388	33	"King"
1389	33	"King"
1390	33	"King"
1391	33	"King"
1392	33	"King"
1393	33	"King"
1394	33	"King"
1395	33	"King"
1396	33	"King"
1397	33	"King"
1398	33	"King"
1399	33	"King"
1400	33	"King"
1401	33	"King"
1402	33	"King"
1403	33	"King"
1404	33	"King"
1405	33	"King"
1406	33	"King"
1407	33	"King"
1408	33	"King"
1409	33	"King"
1410	33	"King"
1411	33	"King"
1412	33	"King"
1413	33	"King"
1414	33	"King"
1415	33	"King"
1416	33	"King"
1417	33	"King"
1418	33	"King"
1419	33	"King"
1420	33	"King"
1421	33	"King"
1422	33	"King"
1423	33	"King"
1424	33	"King"
1425	33	"King"
1426	33	"King"
1427	33	"King"
1428	33	"King"
1429	33	"King"
1430	33	"King"
1431	33	"King"
1432	33	"King"
1433	33	"King"
1434	33	"King"
1435	33	"King"
1436	33	"King"
1437	33	"King"
1438	33	"King"
1439	33	"King"
1440	33	"King"
1441	33	"King"
1442	33	"King"
1443	33	"King"
1444	33	"King"
1445	33	"King"
1446	33	"King"
1447	33	"King"
1448	33	"King"
1449	33	"King"
1450	33	"King"
1451	33	"King"
1452	33	"King"
1453	33	"King"
1454	33	"King"
1455	33	"King"
1456	33	"King"
1457	33	"King"
1458	33	"King"
1459	33	"King"
1460	33	"King"
1461	33	"King"
1462	33	"King"
1463	33	"King"
1464	33	"King"
1465	33	"King"
1466	33	"King"
1467	33	"King"
1468	33	"King"
1469	33	"King"
1470	33	"King"
1471	33	"King"
1472	33	"King"
1473	33	"King"
1474	33	"King"
1475	33	"King"
1476	33	"King"
1477	33	"King"
1478	33	"King"
1479	33	"King"
1480	33	"King"
1481	33	"King"
1482	33	"King"
1483	33	"King"
1484	33	"King"
1485	33	"King"
1486	33	"King"
1487	33	"King"
1488	33	"King"
1489	33	"King"
1490	33	"King"
1491	33	"King"
1492	33	"King"
1493	33	"King"
1494	33	"King"
1495	33	"King"
1496	33	"King"
1497	33	"King"
1498	33	"King"
1499	33	"King"
1500	33	"King"
1501	33	"King"
1502	33	"King"
1503	33	"King"
1504	33	"King"
1505	33	"King"
1506	33	"King"
1507	33	"King"
1508	33	"King"
1509	33	"King"
1510	33	"King"
1511	33	"King"
1512	33	"King"
1513	33	"King"
1514	33	"King"
1515	33	"King"
1516	33	"King"
1517	33	"King"
1518	33	"King"
1519	33	"King"
1520	33	"King"
