faz_id	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040
4506	16094	16209	16324	16439	16554	16670	16785	16900	17015	17130	17245	17393	17541	17690	17838	17986	18134	18282	18431	18579	18727	18926	19125	19324	19523	19723	19922	20121	20320	20519	20718
4605	22130	22377	22624	22870	23117	23364	23611	23858	24104	24351	24598	24740	24883	25025	25167	25310	25452	25594	25736	25879	26021	26264	26506	26749	26991	27234	27477	27719	27962	28204	28447
4606	23668	23940	24212	24483	24755	25027	25299	25571	25842	26114	26386	26526	26665	26805	26944	27084	27223	27363	27502	27642	27781	28034	28286	28539	28792	29045	29297	29550	29803	30055	30308
4607	20730	21451	22173	22894	23615	24337	25058	25779	26500	27222	27943	28197	28450	28704	28957	29211	29464	29718	29971	30225	30478	30727	30976	31224	31473	31722	31971	32220	32468	32717	32966
4706	17108	17099	17090	17081	17072	17064	17055	17046	17037	17028	17019	17048	17077	17106	17135	17164	17192	17221	17250	17279	17308	17333	17358	17383	17408	17433	17458	17483	17508	17533	17558
4810	8795	8835	8876	8916	8957	8997	9037	9078	9118	9159	9199	9309	9420	9530	9640	9751	9861	9971	10081	10192	10302	10407	10512	10617	10722	10828	10933	11038	11143	11248	11353
4820	6939	6999	7059	7119	7179	7240	7300	7360	7420	7480	7540	7642	7745	7847	7949	8052	8154	8256	8358	8461	8563	8693	8822	8952	9082	9212	9341	9471	9601	9730	9860
4900	6999	7601	8203	8805	9407	10010	10612	11214	11816	12418	13020	13406	13792	14178	14564	14951	15337	15723	16109	16495	16881	17077	17272	17468	17664	17860	18055	18251	18447	18642	18838
5010	18389	18492	18595	18698	18801	18904	19007	19110	19213	19316	19419	19498	19577	19656	19735	19815	19894	19973	20052	20131	20210	20263	20317	20370	20424	20477	20530	20584	20637	20691	20744
5020	24510	24528	24546	24565	24583	24601	24619	24637	24656	24674	24692	24784	24876	24968	25060	25153	25245	25337	25429	25521	25613	25732	25850	25969	26088	26207	26325	26444	26563	26681	26800
5100	6930	6945	6959	6974	6989	7004	7018	7033	7048	7062	7077	7114	7151	7188	7225	7263	7300	7337	7374	7411	7448	7446	7443	7441	7439	7437	7434	7432	7430	7427	7425
5205	12049	12227	12405	12583	12761	12940	13118	13296	13474	13652	13830	14048	14266	14485	14703	14921	15139	15357	15576	15794	16012	16236	16460	16684	16908	17132	17356	17580	17804	18028	18252
5305	23746	23932	24119	24305	24492	24678	24864	25051	25237	25424	25610	25732	25853	25975	26096	26218	26339	26461	26582	26704	26825	26899	26973	27047	27121	27196	27270	27344	27418	27492	27566
5306	23038	23206	23374	23542	23710	23878	24046	24214	24382	24550	24718	24919	25120	25321	25522	25723	25924	26125	26326	26527	26728	26832	26937	27041	27145	27250	27354	27458	27562	27667	27771
5415	14546	14737	14927	15118	15308	15499	15690	15880	16071	16261	16452	16620	16788	16956	17124	17293	17461	17629	17797	17965	18133	18386	18640	18893	19147	19400	19653	19907	20160	20414	20667
5425	36985	37485	37985	38484	38984	39484	39984	40484	40983	41483	41983	42424	42864	43305	43745	44186	44626	45067	45507	45948	46388	46799	47211	47622	48034	48445	48856	49268	49679	50091	50502
5426	20570	20595	20619	20644	20669	20694	20718	20743	20768	20792	20817	20872	20928	20983	21039	21094	21149	21205	21260	21316	21371	21439	21507	21575	21643	21711	21779	21847	21915	21983	22051
5515	23898	24008	24118	24229	24339	24449	24559	24669	24780	24890	25000	25149	25297	25446	25595	25744	25892	26041	26190	26338	26487	26642	26797	26952	27107	27262	27416	27571	27726	27881	28036
5525	13943	14178	14413	14648	14883	15118	15353	15588	15823	16058	16293	16526	16758	16991	17223	17456	17689	17921	18154	18386	18619	18855	19091	19328	19564	19800	20036	20272	20509	20745	20981
5535	21115	21329	21543	21757	21971	22186	22400	22614	22828	23042	23256	23356	23456	23556	23656	23757	23857	23957	24057	24157	24257	24352	24446	24541	24635	24730	24825	24919	25014	25108	25203
5545	13064	13273	13481	13690	13898	14107	14315	14524	14732	14941	15149	15311	15474	15636	15798	15961	16123	16285	16447	16610	16772	16978	17183	17389	17594	17800	18005	18211	18416	18622	18827
5546	16578	16796	17014	17232	17450	17668	17886	18104	18322	18540	18758	18930	19101	19273	19444	19616	19788	19959	20131	20302	20474	20686	20899	21111	21323	21536	21748	21960	22172	22385	22597
5600	13248	13415	13582	13749	13916	14084	14251	14418	14585	14752	14919	15103	15287	15471	15655	15839	16023	16207	16391	16575	16759	16971	17183	17395	17607	17819	18030	18242	18454	18666	18878
5715	16681	16646	16610	16575	16540	16505	16469	16434	16399	16363	16328	16315	16303	16290	16277	16265	16252	16239	16226	16214	16201	16345	16489	16633	16777	16921	17064	17208	17352	17496	17640
5716	23609	23658	23707	23756	23805	23854	23902	23951	24000	24049	24098	24109	24119	24130	24140	24151	24162	24172	24183	24193	24204	24240	24276	24311	24347	24383	24419	24455	24490	24526	24562
5720	33465	33469	33472	33476	33480	33484	33487	33491	33495	33498	33502	33517	33532	33546	33561	33576	33591	33606	33620	33635	33650	33735	33821	33906	33992	34077	34162	34248	34333	34419	34504
5815	4382	4392	4403	4413	4423	4434	4444	4454	4464	4475	4485	4506	4526	4547	4567	4588	4609	4629	4650	4670	4691	4739	4788	4836	4884	4933	4981	5029	5077	5126	5174
5825	2341	2372	2403	2433	2464	2495	2526	2557	2587	2618	2649	2681	2714	2746	2778	2811	2843	2875	2907	2940	2972	3025	3078	3131	3184	3237	3290	3343	3396	3449	3502
5826	4196	4222	4248	4273	4299	4325	4351	4377	4402	4428	4454	4492	4530	4568	4606	4644	4681	4719	4757	4795	4833	4872	4911	4951	4990	5029	5068	5107	5147	5186	5225
5915	19548	19687	19825	19964	20102	20241	20380	20518	20657	20795	20934	21125	21316	21508	21699	21890	22081	22272	22464	22655	22846	23029	23212	23395	23578	23762	23945	24128	24311	24494	24677
5916	36435	36436	36437	36438	36439	36440	36440	36441	36442	36443	36444	36525	36605	36686	36766	36847	36928	37008	37089	37169	37250	37594	37937	38281	38624	38968	39312	39655	39999	40342	40686
5925	25302	25499	25697	25894	26092	26289	26486	26684	26881	27079	27276	27410	27544	27679	27813	27947	28081	28215	28350	28484	28618	28753	28888	29023	29158	29293	29427	29562	29697	29832	29967
6010	10260	10407	10553	10700	10846	10993	11139	11286	11432	11579	11725	12104	12482	12861	13239	13618	13996	14375	14753	15132	15510	16065	16620	17175	17730	18285	18840	19395	19950	20505	21060
6020	13677	14243	14809	15375	15941	16507	17073	17639	18205	18771	19337	19902	20467	21032	21597	22162	22726	23291	23856	24421	24986	25474	25962	26450	26938	27426	27914	28402	28890	29378	29866
6113	27685	27996	28306	28617	28928	29239	29549	29860	30171	30481	30792	31039	31286	31533	31780	32028	32275	32522	32769	33016	33263	33454	33644	33835	34025	34216	34406	34597	34787	34978	35168
6114	31472	31699	31927	32154	32382	32609	32836	33064	33291	33519	33746	33827	33907	33988	34068	34149	34230	34310	34391	34471	34552	34602	34651	34701	34750	34800	34850	34899	34949	34998	35048
6115	20579	20643	20707	20770	20834	20898	20962	21026	21089	21153	21217	21194	21172	21149	21127	21104	21081	21059	21036	21014	20991	20953	20915	20876	20838	20800	20762	20724	20685	20647	20609
6123	15723	16460	17197	17934	18671	19409	20146	20883	21620	22357	23094	23662	24229	24797	25364	25932	26499	27067	27634	28202	28769	29445	30120	30796	31471	32147	32823	33498	34174	34849	35525
6124	23344	23428	23511	23595	23678	23762	23845	23929	24012	24096	24179	24240	24301	24362	24423	24484	24545	24606	24667	24728	24789	24888	24987	25085	25184	25283	25382	25481	25579	25678	25777
6125	8717	8734	8750	8767	8783	8800	8816	8833	8849	8866	8882	8906	8929	8953	8977	9001	9024	9048	9072	9095	9119	9177	9235	9293	9351	9410	9468	9526	9584	9642	9700
6126	12023	12014	12006	11997	11989	11980	11971	11963	11954	11946	11937	11968	11998	12029	12060	12091	12121	12152	12183	12213	12244	12260	12276	12293	12309	12325	12341	12357	12374	12390	12406
6213	16601	16631	16661	16692	16722	16752	16782	16812	16843	16873	16903	16974	17045	17115	17186	17257	17328	17399	17469	17540	17611	17772	17932	18093	18254	18415	18575	18736	18897	19057	19218
6214	348	359	371	382	394	405	416	428	439	451	462	483	504	524	545	566	587	608	628	649	670	707	745	782	820	857	894	932	969	1007	1044
6215	23047	23348	23649	23950	24251	24552	24853	25154	25455	25756	26057	26175	26292	26410	26528	26646	26763	26881	26999	27116	27234	27214	27194	27174	27154	27134	27113	27093	27073	27053	27033
6216	14123	14181	14239	14297	14355	14413	14471	14529	14587	14645	14703	14741	14779	14816	14854	14892	14930	14968	15005	15043	15081	15090	15098	15107	15115	15124	15133	15141	15150	15158	15167
6223	26129	26257	26384	26512	26639	26767	26894	27022	27149	27277	27404	27514	27623	27733	27843	27953	28062	28172	28282	28391	28501	28579	28657	28734	28812	28890	28968	29046	29123	29201	29279
6224	20684	20789	20894	20999	21104	21209	21314	21419	21524	21629	21734	21924	22115	22305	22496	22686	22876	23067	23257	23448	23638	23812	23986	24160	24334	24508	24681	24855	25029	25203	25377
6225	17475	17996	18516	19037	19557	20078	20598	21119	21639	22160	22680	22703	22725	22748	22770	22793	22816	22838	22861	22883	22906	22979	23051	23124	23196	23269	23341	23414	23486	23559	23631
6226	28100	28157	28214	28270	28327	28384	28441	28498	28554	28611	28668	28752	28835	28919	29002	29086	29169	29253	29336	29420	29503	29674	29845	30016	30187	30359	30530	30701	30872	31043	31214
6316	25529	25684	25839	25994	26149	26304	26458	26613	26768	26923	27078	27217	27356	27494	27633	27772	27911	28050	28188	28327	28466	28486	28506	28525	28545	28565	28585	28605	28624	28644	28664
6325	33361	33473	33585	33697	33809	33922	34034	34146	34258	34370	34482	34829	35177	35524	35872	36219	36566	36914	37261	37609	37956	38183	38411	38638	38865	39093	39320	39547	39774	40002	40229
